source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
myrealty,142189,200000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Sunny', 'View']","Yerevan, Center, Abovyan St",39,1,5,5,Stone,Newly repaired,2.8 M,1,,08.11.2023,175,,,,,,,
myrealty,142180,270000,"['Heating', 'Internet', 'Hot water', 'Irrigation', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'High first floor', 'Elevator']","Yerevan, Center, Saryan St",92,4,6,8,Stone,Newly repaired,2.8 M,2,,07.11.2023,260,,,,,,,
myrealty,142179,130000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Tile', 'Laminate flooring', 'Parquet', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Avan, Hovhannisyan distrct",80,3,7,11,Monolit,Newly repaired,2.8 M,1,,07.11.2023,156,,,,,,,
myrealty,142163,275000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Storage room', 'Basement', 'Tile', 'Parquet', 'Heated floor', 'Bilateral', 'Parking', 'Playground', 'High first floor']","Yerevan, Center, Saryan St",75,3,1,5,Stone,Newly repaired,3 M,1,,07.11.2023,135,,,,,,,
myrealty,142160,156000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Loggia', 'Balcony', 'Storage room', 'Tile', 'Laminate flooring', 'Heated floor', 'Sunny', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Davtashen, Tigran Petrosyan St",81,3,4,9,Panel,Newly repaired,2.8 M,1,,07.11.2023,255,,,,,,,
myrealty,142152,230000,"['Heating', 'Hot water', 'Irrigation', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Sunny', 'View', 'Parking', 'Elevator']","Yerevan, Center, A.Manukyan St",62,3,7,11,Monolit,Newly repaired,3 M,1,,07.11.2023,277,,,,,,,
myrealty,142141,128000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Heated floor', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'High first floor']","Yerevan, Avan, Avan 4 St",74,3,5,5,Monolit,Newly repaired,3 M,1,,07.11.2023,336,,,,,,,
myrealty,142137,340000,"['Water', 'water 24/7', 'Electricity', 'Air-conditioner', 'Internet', 'Hot water', 'Gas', 'Heating', 'Close to the bus station', 'View', 'Sunny', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Center, Tumanyan St",85,3,4,4,Stone,Good,3.2 M,1,,06.11.2023,515,,,,,,,
myrealty,142134,227000,[],"Yerevan, Center, Mashtots Ave",81,3,5,5,Stone,Good,3.2 M,1,,06.11.2023,346,,,,,,,
myrealty,142133,600000,[],"Yerevan, Center, Mashtots Ave",180,4,5,5,Stone,Newly repaired,3.2 M,2,,06.11.2023,341,,,,,,,
