source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/137091,137091,130000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Balcony', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Arabkir, Hr.Kochar St",83,3,5,5,Stone,Good,2.8 M,1,,09.06.2023,1163,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Vardanants+St/Center/Yerevan/135586,135586,160000,"['Water', 'water 24/7', 'Electricity', 'Iron door', 'Bilateral']","Yerevan, Center, Vardanants St",88,3,5,5,Stone,Zero condition,3.2 M,1,,09.06.2023,1422,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Komitas+Ave/Arabkir/Yerevan/135411,135411,275000,"['Hot water', 'Gas', 'Heating', 'Equipment', 'Furniture']","Yerevan, Arabkir, Komitas Ave",92,2,11,16,Monolit,Newly repaired,3 M,1,,08.06.2023,510,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Tigran+Petrosyan+St/Davtashen/Yerevan/136022,136022,130000,"['Heating', 'Internet', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Park', 'Elevator']","Yerevan, Davtashen, Tigran Petrosyan St",62,2,2,5,Monolit,Newly repaired,3 M,1,,08.06.2023,963,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/135320,135320,190000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Laminate flooring', 'Sunny', 'View', 'Playground', 'Park', 'Elevator']","Yerevan, Arabkir, Adonts St",74,4,13,18,Monolit,Newly repaired,3 M,2,,07.06.2023,1150,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Leningradyan+St/Achapnyak/Yerevan/135294,135294,182000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'Furniture', 'Equipment', 'Euro windows', 'Balcony', 'Tile', 'Laminate flooring', 'Sunny', 'Elevator']","Yerevan, Achapnyak, Leningradyan St",87,2,2,6,Monolit,Newly repaired,3 M,1,,06.06.2023,1377,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Koghbatsi+St/Center/Yerevan/135253,135253,288000,"['Heating', 'Elevator']","Yerevan, Center, Koghbatsi St",96,3,5,11,Panel,Good,2.8 M,1,,03.06.2023,1473,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Vardanants+St/Center/Yerevan/135107,135107,1000000,[],"Yerevan, Center, Vardanants St",183,4,14,20,Monolit,Newly repaired,3 M,3,,01.06.2023,2012,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Amiryan+St/Center/Yerevan/135085,135085,525000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Parquet', 'Heated floor', 'Sunny', 'Bilateral', 'Garage', 'Elevator']","Yerevan, Center, Amiryan St",96,2,5,14,Monolit,Newly repaired,3.2 M,1,,31.05.2023,1770,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/135073,135073,880000,"['Hot water', 'Gas', 'Heating', 'Open balcony', 'Equipment', 'Furniture']","Yerevan, Arabkir, Baghramyan av(Arabkir)",200,3,8,18,Monolit,Newly repaired,3 M,2,,31.05.2023,488,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/135070,135070,194000,"['Gas', 'Heating', 'Equipment', 'Furniture']","Yerevan, Center, Saryan St",44,3,4,9,Panel,Newly repaired,2.8 M,1,,31.05.2023,683,,,,,,,,,,,,,,,
