source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/1-N-419,1-N-419,386000,[],Yerevan/Small Center/M. Abeghyan st.,115.7,4,6,6,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-931,4-3-931,125000,"['Elevator', 'Panorama']",Yerevan/Arabkir/Mamikonyants Street,110.0,4,14,14,Panel,Old major overhaul,2.75,1,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-418,1-N-418,450000,"['Parking', 'Elevator', 'Heating system', 'Air conditioning', 'French balcony', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture']",Yerevan/Small Center/Tumanyan Street,121.0,3,4,7,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2017,1-3-2017,230000,"['Heating system', 'Air conditioning', 'Open balcony']",Yerevan/Small Center/Mashtots Avenue,90.0,3,5,5,Stone,Major overhaul,,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-Av3-153,6-Av3-153,214000,"['Parking', 'Garage', 'Elevator', 'Heating system', 'Open balcony', 'Built-in furniture']",Yerevan/Avan/Tsarav Aghbyur Street,107.0,3,10,14,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1384,4-3-1384,135000,"['Elevator', 'Heating system', 'Closed balcony']",Yerevan/Arabkir/Mamikonyants Street,102.0,4,10,14,Panel,Without renovation,2.75,1,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-Z3-259,6-Z3-259,113000,"['Heating system', 'Front balcony', 'Closed balcony', 'Furniture']",Yerevan/Qanaqer-Zeytun/Nersisyan street,55.0,3,5,5,Stone,Major overhaul,2.8,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2082,1-3-2082,290000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Not lived in']",Yerevan/Small Center/Sayat-Nova  Avenue,94.0,3,3,13,Panel,Major overhaul,2.75,3,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1360,4-3-1360,420000,"['Building service', 'Building security', 'Elevator', 'Heating system', 'Open balcony']",Yerevan/Arabkir/Papazyan Street,125.0,4,2,15,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-N-384,1-N-384,450000,"['Elevator', 'Heating system', 'Cooling system', 'Open balcony']",Yerevan/Small Center/Leo Street,123.0,3,3,15,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-B-117,1-B-117,370000,"['First line', 'Parking', 'Elevator', 'Heating system', 'Cooling system', 'Air conditioning', 'Open balcony']",Yerevan/Small Center/Arami Street,90.0,4,7,15,New building,Major overhaul,2.0,1,4,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-2-194,4-2-194,110000,['Closed balcony'],Yerevan/Arabkir/Komitas Avenue,68.2,2,1,5,Stone,Without renovation,,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1383,4-3-1383,215000,"['Parking', 'Heating system', 'Air conditioning', 'Front balcony', 'Open balcony', 'Washing machine', 'Furniture', 'Wardrobe']",Yerevan/Arabkir/Komitas Avenue,91.0,4,3,5,Stone,Major overhaul,,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-NN3-340,6-NN3-340,380000,"['Elevator', 'Heating system', 'Front balcony', 'Open balcony', 'Furniture']",Yerevan/Nor Nork/Gyulikevkhyan Street,171.0,4,10,14,New building,Major overhaul,3.0,1,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-3-2098,1-3-2098,280000,"['Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Panorama', 'Fireplace', 'Internet', 'Furniture']",Yerevan/Small Center/Lemkin street,138.0,4,9,9,Panel,Major overhaul,2.8,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-NN2-213,6-NN2-213,90000,"['Elevator', 'Heating system']",Yerevan/Nor Nork/Gai Avenue,65.0,2,5,12,Panel,Old major overhaul,2.75,1,2,,,,,,,,,,,,,,,,,
