source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,128680,275000.0,50.0,3.0,9.0,9.0,1.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,"(40.182206184659805, 44.51166722152143)",512,10014,2001,4189,4462,2259,4691,10,16,6,5,5,4,0,4,0,1,1,5,0,4,0,0
myrealty,142725,139000.0,83.0,3.0,4.0,5.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,141287,219000.0,90.0,3.0,10.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"(40.21673211791397, 44.583870697678144)",6767,17145,9120,8266,3233,7951,11537,7,11,2,0,2,0,1,1,0,0,0,0,0,0,0,0
bnakaran,d116408,310000.0,87.0,3.0,3.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"(40.186000349479, 44.518568507932)",295,10709,2670,4278,3762,2448,5347,5,29,1,6,4,0,0,3,2,0,2,1,0,4,0,0
bnakaran,d117524,192000.00000000003,98.0,3.0,7.0,9.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(40.194919133553, 44.487407760574)",2551,8773,1761,6573,5360,599,5561,9,6,3,14,7,0,0,2,0,0,4,0,0,0,0,0
bars,6-Z3-260,230000.0,83.0,3.0,6.0,12.0,1.0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,"(40.204839367697545, 44.54016340378585)",2987,13225,5242,6009,989,4028,8105,4,2,2,1,2,0,1,3,0,0,0,1,0,1,0,0
bars,1-A-98,430000.00000000006,105.0,4.0,2.0,6.0,1.0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
myrealty,142645,159000.00000000003,70.0,2.0,2.0,5.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
bars,1-DH-11,533920.0,166.85,4.0,5.0,8.0,2.0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
myrealty,137626,155000.0,77.0,3.0,6.0,17.0,1.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,"(40.18955105, 44.5902935)",6400,16649,8728,6134,4528,8242,10168,3,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0
myrealty,138014,430000.0,180.0,4.0,3.0,9.0,1.0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,"(40.19493042144863, 44.50523170804844)",1298,10082,2264,5680,3987,1005,5800,0,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0
bars,4-3-625,299999.9999999999,280.0,4.0,1.0,2.0,4.0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,"(40.19625902492543, 44.50164222859443)",1614,9886,2212,5964,4190,676,5864,3,2,4,5,1,1,2,0,0,0,0,0,0,0,0,0
myrealty,140367,319999.99999999994,130.0,4.0,5.0,10.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,7174,3784,4673,9136,5840,127,8,6,2,6,3,0,0,5,0,0,0,2,0,0,0,0
myrealty,127956,274999.99999999994,76.0,2.0,4.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(40.183781674798254, 44.505052000470215)",887,9548,1502,4660,4730,1776,4619,3,6,3,2,6,2,1,2,1,1,1,2,0,0,0,0
