source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bnakaran,d117226,1150000.0,149.0,4.0,4.0,8.0,Monolit,Good Condition,2.0,1,0,0,0,0,1,0,0,44.514355507934,40.181701317653,"(40.181701317653, 44.514355507934)"
bnakaran,d117228,205000.0,103.0,3.0,2.0,6.0,Stone,Good Condition,1.0,0,0,0,0,0,0,0,0,44.499948354491,40.196865777081,"(40.196865777081, 44.499948354491)"
bnakaran,d117213,180000.0,80.0,3.0,7.0,10.0,Panel,Good Condition,1.0,0,0,0,0,0,0,0,0,44.504245148132,40.183272383963,"(40.183272383963, 44.504245148132)"
bnakaran,d117211,172000.0,75.0,3.0,4.0,9.0,Panel,Good Condition,2.0,0,0,0,0,0,0,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d117203,150000.0,73.0,3.0,2.0,9.0,Panel,Good Condition,2.0,0,0,0,0,0,0,0,0,44.4952,40.22287,"(40.22287, 44.4952)"
bnakaran,d117204,315000.0,152.0,5.0,8.0,9.0,Monolit,Good Condition,2.0,1,0,0,0,0,0,0,0,44.552101135254,40.216800689697,"(40.216800689697, 44.552101135254)"
bnakaran,d103147,2600000.0,280.0,3.0,8.0,10.0,Monolit,New/Excellent Condition,2.0,1,0,0,0,0,0,0,0,44.51088385,40.17641838,"(40.17641838, 44.51088385)"
bnakaran,d117922,150000.0,78.0,2.0,4.0,10.0,Monolit,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.49948248941,40.180918819905,"(40.180918819905, 44.49948248941)"
bnakaran,d93008,260000.0,90.0,3.0,3.0,5.0,Stone,Good Condition,2.0,0,0,0,0,0,1,0,0,44.48402958,40.19254093,"(40.19254093, 44.48402958)"
bnakaran,d117922,150000.0,78.0,2.0,4.0,10.0,Monolit,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.49948248941,40.180918819905,"(40.180918819905, 44.49948248941)"
