,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
1637,bnakaran,d116793,300000.0,161.0,4.0,10.0,11.0,2.0,1,0,0,0,0,0,0,0,44.51842578308,40.209532966945,2632,11868,6758,2499,7699,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
1638,bnakaran,d116951,240000.0,87.0,3.0,6.0,9.0,2.0,0,0,0,0,0,0,0,0,44.509927337295,40.180449560569,757,9811,4114,2316,4449,6,16,7,3,0,1,3,3,0,0,1,0,1,0,0,0
1639,bnakaran,d86405,59400.0,54.0,2.0,4.0,5.0,1.0,0,0,0,0,0,0,0,0,44.5085557,40.180233,848,9692,4166,2269,4375,8,22,8,3,1,2,3,3,0,0,0,1,1,0,0,0
1661,bnakaran,d116830,324000.0,135.0,3.0,10.0,12.0,2.0,1,0,1,0,1,1,1,1,44.508399963379,40.183498382568,632,9802,4465,1969,4698,7,14,6,6,2,2,3,5,0,1,0,0,0,0,0,1
1662,bnakaran,d107838,580000.0,159.0,4.0,8.0,9.0,2.0,1,0,0,0,0,0,0,0,44.521657748686,40.166573336966,2231,10417,2285,4151,3880,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0
1664,bnakaran,d117064,178500.0,105.0,3.0,4.0,5.0,1.0,1,0,0,1,0,0,0,0,44.514613,40.182121,433,10247,4048,2440,4805,6,25,9,3,0,1,2,2,1,0,0,0,1,0,0,0
1667,bnakaran,d109151,549000.0,121.0,4.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,44.515646,40.18919,357,10608,4703,2061,5535,5,16,1,1,0,2,3,0,0,0,0,1,0,0,1,0
1669,bnakaran,d113977,145200.0,96.0,3.0,2.0,9.0,2.0,1,0,0,0,0,1,0,0,44.540989322692,40.193182368609,2340,12772,4716,4035,7124,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1670,bnakaran,d116261,168187.5,117.0,3.0,4.0,10.0,2.0,1,0,0,0,0,1,1,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,1,0,0
1671,bnakaran,d114717,410000.0,138.0,4.0,3.0,5.0,3.0,1,0,0,0,0,1,0,0,44.507615,40.196458,1324,10340,5730,1178,6022,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0
