source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
bnakaran,d117909,150000.0,74.0,3.0,2.0,9.0,1.0,0,0,0,0,0,1,0,0,44.494899749756,40.192501068115,1861,9182,5956,535,5346,2,2,3,1,0,0,0,2,0,0,1,0,1,0,0,0
myrealty,127681,135000.0,40.0,2.0,12.0,12.0,1.0,0,0,0,0,0,0,0,0,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,0,1,0,0,0,1,0
myrealty,133376,145000.0,56.0,2.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.51344849450384,40.1767382062846,1039,9975,3605,2826,4245,3,19,13,0,0,1,0,0,0,0,0,1,0,0,1,0
myrealty,141561,201000.0,153.0,5.0,1.0,6.0,3.0,0,0,0,0,0,0,0,0,44.52706263472466,40.205140244623664,2358,12253,6125,2960,7556,2,3,5,0,2,2,3,0,0,0,0,1,0,0,1,0
bnakaran,d116261,168187.5,117.0,3.0,4.0,10.0,2.0,1,0,0,0,0,1,1,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,1,0,0
myrealty,138690,280000.0,85.0,3.0,9.0,15.0,1.0,0,0,0,0,1,0,1,1,44.505052000470215,40.183781674798254,887,9548,4660,1776,4619,3,6,6,2,1,1,2,0,0,0,1,0,0,0,1,0
bnakaran,d117915,297000.0,122.0,3.0,8.0,15.0,2.0,1,0,0,1,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,0,1,0
myrealty,141705,87000.0,52.0,1.0,9.0,12.0,1.0,0,1,0,0,0,0,1,0,44.48028805,40.20511795,3640,8968,7827,1442,6710,6,5,1,0,0,0,1,3,0,1,0,0,0,0,1,0
myrealty,142743,190000.0,101.0,3.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,44.5215976,40.18607885,552,10953,4189,2668,5493,7,25,3,0,2,4,1,4,0,0,0,1,0,0,1,0
bnakaran,d117827,130000.0,54.0,2.0,1.0,9.0,1.0,0,0,0,0,0,0,1,0,44.515242661377,40.166026617565,2220,9869,2628,3920,3427,9,4,4,0,1,0,2,2,0,0,1,0,1,0,0,0
bnakaran,d115274,290000.0,126.0,4.0,8.0,8.0,2.0,1,0,0,0,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,0,1,0
