,source,webpage,success,error,skipped
142,bars,https://bars.am/en/properties/standard/apartment/4-1-27,True,,
143,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/M.Khorenatsi+St/Center/Yerevan/142521,True,,
144,bars,https://bars.am/en/properties/standard/apartment/4-3-1426,True,,
145,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d77026,True,,
146,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Tigran+Mets+Ave/Center/Yerevan/142518,True,,
147,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d99233,True,,
148,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Tigran+Mets+%D4%B1%D5%BE%D5%A5+%28Erebuni%29/Erebuni/Yerevan/142517,True,,
149,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/142516,True,,
150,bars,https://bars.am/en/properties/standard/apartment/4-3-1428,True,,
151,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Gyulbenkyan+St/Arabkir/Yerevan/142508,True,,
152,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d112352,True,,
153,bars,https://bars.am/en/properties/standard/apartment/1-N-428,True,,
154,bars,https://bars.am/en/properties/standard/apartment/4-3-1396,True,,
155,bars,https://bars.am/en/properties/standard/apartment/1-3-2131,True,,
156,bars,https://bars.am/en/properties/standard/apartment/1-3-1838,True,,
157,bars,https://bars.am/en/properties/standard/apartment/4-2-205,True,,
158,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142504,True,,
159,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142500,True,,
160,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Vardanants+St/Center/Yerevan/142499,True,,
161,bars,https://bars.am/en/properties/standard/apartment/4-3-1424,True,,
162,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Pushkin+St/Center/Yerevan/142489,True,,
163,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-arabkir-yerevan-d112683,True,,
164,bars,https://bars.am/en/properties/standard/apartment/4-3-1423,True,,
165,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Vazgen+Sargsyan+St/Center/Yerevan/142480,True,,
166,bars,https://bars.am/en/properties/standard/apartment/4-3-1421,True,,
167,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Argishti+St/Center/Yerevan/142452,True,,
168,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Argishti+St/Center/Yerevan/142451,True,,
